mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
1150.	0.1491057586308154	5.6	-4.8	5.1	7.5742986473996385	-7.003570517957251
1200.	0.1273866779886752	5.6	-4.8	5.3	7.710382610480494	-7.150524456289902
1250.	0.10917685953602015	5.7	-4.8	5.5	7.920858539325141	-7.3
1300.	0.09391316364217193	5.7	-4.8	5.7	8.061017305526642	-7.451845409024532
1350.	0.08100711904917328	5.7	-4.9	5.9	8.203657720797475	-7.669419795525605
1400.	0.07007878695515674	5.7	-4.9	6.1	8.348652585896719	-7.824321056807421
1450.	0.06080617597824298	5.8	-4.9	6.3	8.563293758829017	-7.981227975693966
1500.	0.052864451652754045	5.9	-5.	6.5	8.778382538941898	-8.200609733428363
1550.	0.046088693194162145	6.1	-5.	6.7	9.060905032059436	-8.360023923410745
1600.	0.04025127968344258	6.3	-5.	6.9	9.343446901438464	-8.521150157109075
1650.	0.035258221449145574	6.5	-5.1	7.1	9.626006440887103	-8.741853350405735
1700.	0.030942007659583354	6.8	-5.1	7.4	10.04987562112089	-8.987213138676529
1750.	0.027184970220488196	9.4	-1.7	9.1	13.083195328359201	-9.257429448826493
1800.	0.0239271445497982	9.1	-2.3	9.	12.798828071350908	-9.289241088485108
1850.	0.021116634361555562	8.8	-2.9	9.	12.58729518204765	-9.455686120002081
1900.	0.018659610466760596	8.6	-3.4	9.	12.448293055676348	-9.620810776644555
1950.	0.016508263102450377	8.4	-3.8	9.	12.310970717209914	-9.76933979345585
2000.	0.01463193950613698	8.3	-4.2	9.1	12.31665539016173	-10.022474744293447
2050.	0.012979132179578827	8.2	-4.6	9.2	12.323960402403117	-10.285912696499032
2100.	0.011532233970995358	8.1	-4.9	9.4	12.408464852672148	-10.600471687618434
2150.	0.010260976719226602	8.1	-5.1	9.6	12.560652849274993	-10.870602559196064
2200.	0.0091473028001984	8.1	-5.3	9.8	12.714165328483032	-11.14136436887332
2250.	0.008155280084641323	8.1	-5.5	10.	12.868954891520913	-11.412712210513327
2300.	0.007277039352274713	8.1	-5.7	10.2	13.024976007655445	-11.684605256490268
2350.	0.006505033043037444	8.2	-5.8	10.5	13.322537295875737	-11.995415791042843
2400.	0.0058255182654373275	8.3	-5.9	10.7	13.541787178950937	-12.218837915284743
