mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	310.94635285559764	47.9	-37.3	6.5	48.33901116075917	-37.86211827143325
15.	384.1510230346278	33.6	-27.7	5.1	33.98484956565205	-28.16558183315232
20.	355.34363388464436	24.9	-21.2	4.4	25.28576674732249	-21.651789764358973
25.	316.3995645096614	20.3	-17.1	4.1	20.709901013766338	-17.58465239918037
30.	278.36554886227805	18.1	-14.8	4.	18.53672031401456	-15.33101431738944
35.	241.84840436023129	15.9	-13.4	3.8	16.347782724271816	-13.92838827718412
40.	207.35107309365398	14.2	-12.6	3.8	14.699659860010366	-13.16054710108968
45.	175.9553926276855	13.	-11.9	3.7	13.51628647225265	-12.461942063739505
50.	148.62589695807776	12.	-11.3	3.6	12.52836781069266	-11.859595271340417
55.	125.6534683579317	11.2	-10.8	3.6	11.764352935882194	-11.384199576606166
60.	106.60946872409505	10.6	-10.4	3.5	11.16288493177279	-10.973149046650192
65.	90.96212813302475	10.1	-10.1	3.5	10.689246933250255	-10.689246933250255
70.	78.14813437439584	9.7	-9.8	3.4	10.278618584226189	-10.373041983911953
75.	67.60736439418442	9.3	-9.5	3.4	9.902019995940224	-10.090094152187085
80.	58.87531710481595	9.	-9.3	3.3	9.585927185202275	-9.868130522039117
85.	51.622802084142776	8.7	-9.1	3.3	9.304837451562493	-9.67987603226405
90.	45.52070604950853	8.5	-8.9	3.3	9.118113840043893	-9.49210198006743
95.	40.375761877459475	8.3	-8.7	3.3	8.931965069345043	-9.304837451562493
100.	35.98763958577072	8.1	-8.6	3.2	8.709190547921201	-9.176055797563569
105.	32.22004024615608	7.9	-8.4	3.2	8.523496934944014	-8.988882021697693
110.	28.976313866888358	7.7	-8.3	3.2	8.338465086573187	-8.895504482602435
115.	26.175014166673776	7.6	-8.2	3.2	8.246211251235321	-8.802272433866154
120.	23.726421139634414	7.5	-8.1	3.2	8.154140052758477	-8.709190547921201
125.	21.56868791718233	7.3	-8.	3.1	7.930952023559341	-8.579627031520658
130.	19.677724949404368	7.2	-7.9	3.1	7.8390050389064045	-8.48645980371085
135.	17.99676533774503	7.1	-7.8	3.1	7.747257579298625	-8.393449827097319
140.	16.505720248612516	7.	-7.7	3.1	7.6557168181692825	-8.300602387778854
145.	15.18566534772023	6.9	-7.6	3.1	7.5643902596309776	-8.207923001588162
150.	13.996954450724624	6.8	-7.5	3.1	7.473285756613351	-8.115417426109392
160.	11.971655559956343	6.6	-7.4	3.1	7.291776189653656	-8.023091673413685
170.	10.31135724283582	6.5	-7.3	3.1	7.201388754955532	-7.930952023559341
180.	8.942021787009079	6.4	-7.1	3.1	7.11125867902441	-7.747257579298625
190.	7.803819481079362	6.2	-7.	3.1	6.931810730249349	-7.6557168181692825
200.	6.847399886964982	6.1	-6.9	3.1	6.8425141578224	-7.5643902596309776
210.	6.034516086970896	6.	-6.8	3.1	6.753517601961218	-7.473285756613351
220.	5.34396842601076	6.	-6.7	3.1	6.753517601961218	-7.3824115301167
230.	4.751861880886948	5.9	-6.6	3.1	6.664833081180653	-7.291776189653656
240.	4.240626181720345	5.9	-6.6	3.2	6.711929677819934	-7.334848328356899
250.	3.7974343321261625	5.8	-6.5	3.2	6.624198064671678	-7.244998274671983
260.	3.4112179529305386	5.8	-6.4	3.2	6.624198064671678	-7.155417527999328
270.	3.0732513793089025	5.8	-6.3	3.2	6.624198064671678	-7.066116330771806
280.	2.7775563484685857	5.8	-6.3	3.2	6.624198064671678	-7.066116330771806
