mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
1050.	0.00008929472	0.5	-1.4	3.3	3.337663853655727	-3.584689665786984
1100.	0.00007389676	0.6	-1.4	3.4	3.4525353003264136	-3.676955262170047
1150.	0.000061363224	0.6	-1.5	3.5	3.5510561809129406	-3.8078865529319543
1200.	0.000051055332	0.6	-1.6	3.6	3.6496575181789317	-3.939543120718442
1250.	0.000042569644	0.7	-1.7	3.7	3.7656340767525465	-4.071854614300467
1300.	0.000035563236000000004	0.7	-1.8	3.8	3.8639358172723313	-4.2047592083257275
1350.	0.0000297537	0.8	-1.8	4.	4.079215610874228	-4.386342439892262
1400.	0.000024939316	0.8	-1.9	4.1	4.177319714841085	-4.518849411078001
1450.	0.000020931811999999998	0.8	-2.	4.2	4.27551166528639	-4.651881339845203
1500.	0.000017589984	0.9	-2.1	4.4	4.491102314577124	-4.8754486972995625
1550.	0.0000147928	0.9	-2.2	4.6	4.6872166581031856	-5.0990195135927845
1600.	0.000012459572	1.	-2.3	4.7	4.805205510693586	-5.232590180780452
1650.	0.000010502888	1.	-2.3	4.9	5.000999900019996	-5.412947441089743
1700.	8.862231999999999e-6	1.1	-2.4	5.1	5.217278984298233	-5.63648826841678
1750.	7.477088e-6	1.1	-2.5	5.3	5.412947441089743	-5.860034129593445
1800.	6.317198e-6	1.2	-2.6	5.5	5.629387178015028	-6.0835844697020525
1850.	5.3395284e-6	1.2	-2.7	5.7	5.82494635168428	-6.307138812488591
1900.	4.514493599999999e-6	1.3	-2.8	5.9	6.041522986797286	-6.5306967469022785
1950.	3.819232e-6	1.3	-2.9	6.2	6.334824385884742	-6.844705983459042
2000.	3.2322268e-6	1.4	-3.	6.4	6.551335741663681	-7.068238818828918
2050.	2.7353232e-6	1.4	-3.	6.7	6.844705983459042	-7.340980860893182
2100.	2.3157456e-6	1.5	-3.1	7.	7.158910531638177	-7.6557168181692825
2150.	1.9613908e-6	1.5	-3.2	7.2	7.354590403278758	-7.879086241436884
2200.	1.660828e-6	1.6	-3.3	7.5	7.668767828015137	-8.193900170248599
2250.	1.4066608e-6	1.6	-3.4	7.8	7.962411694957753	-8.508818954473059
2300.	1.1914927999999999e-6	1.7	-3.5	8.2	8.374365647617735	-8.915716460273957
2350.	1.0092723999999998e-6	1.8	-3.6	8.5	8.688498144098322	-9.230926280715279
2400.	8.546204e-7	1.8	-3.7	8.9	9.08019823572151	-9.638464608017193
2450.	7.235024e-7	1.9	-3.8	9.2	9.394147114027968	-9.953893710503442
2500.	6.126908799999999e-7	1.9	-3.9	9.6	9.786214794290998	-10.361949623502326
2550.	5.1862212e-7	2.	-4.	10.	10.198039027185569	-10.770329614269007
2600.	4.3887548000000004e-7	2.1	-4.1	10.4	10.60990103629624	-11.178998166204341
2650.	3.7129928000000003e-7	2.1	-4.2	10.8	11.002272492535349	-11.58792474949678
2700.	3.140108e-7	2.2	-4.3	11.3	11.512167476196652	-12.090492132250036
2750.	2.6546352e-7	2.3	-4.4	11.8	12.022063050907693	-12.593649193144934
2800.	2.2437988e-7	2.4	-4.5	12.2	12.433824833895642	-13.003461077728497
2850.	1.8954956e-7	2.4	-4.6	12.7	12.924782396620841	-13.507405376311173
2900.	1.600312e-7	2.5	-4.7	13.2	13.434656675925886	-14.011780757633913
2950.	1.3508516e-7	2.6	-4.8	13.8	14.042791745233567	-14.610954794263105
3000.	1.1397179999999999e-7	2.6	-4.9	14.3	14.534441853748634	-15.116216457830975
