mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	0.08378104	1.	-0.7	2.	2.23606797749979	-2.118962010041709
15.	0.08028455999999999	1.	-0.6	2.	2.23606797749979	-2.08806130178211
20.	0.0766536	0.9	-0.6	2.	2.193171219946131	-2.08806130178211
25.	0.07315712	0.9	-0.6	2.	2.193171219946131	-2.08806130178211
30.	0.06972787999999999	0.9	-0.5	2.	2.193171219946131	-2.0615528128088303
35.	0.066379328	0.8	-0.5	2.	2.154065922853802	-2.0615528128088303
40.	0.063212324	0.8	-0.5	1.9	2.0615528128088303	-1.96468827043885
45.	0.06021342	0.8	-0.5	1.9	2.0615528128088303	-1.96468827043885
50.	0.057375892	0.8	-0.5	1.9	2.0615528128088303	-1.96468827043885
55.	0.054706463999999996	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
60.	0.052184964	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
65.	0.049811392	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
70.	0.0475723	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
75.	0.045460964	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
80.	0.04347066	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
85.	0.041594663999999996	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
90.	0.039819528	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
95.	0.038151976000000004	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
100.	0.03657856	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
105.	0.035092556000000004	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
110.	0.033680516	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
115.	0.032349164	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
120.	0.031085052000000002	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
125.	0.02988818	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
130.	0.028751824	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
135.	0.02766926	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
140.	0.026647212	0.5	-0.2	1.9	1.96468827043885	-1.91049731745428
145.	0.025672232	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
150.	0.024751044	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
160.	0.0230297	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
170.	0.021469732000000002	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
180.	0.020044244	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
190.	0.018746512	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
200.	0.017556364	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
210.	0.016467075999999997	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
220.	0.015471924000000001	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
230.	0.014550736000000002	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
240.	0.013703512	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
250.	0.012916804	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
260.	0.012190612	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
270.	0.011524936	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
280.	0.010899604	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
290.	0.01032134	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
300.	0.009776696	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
310.	0.009279119999999998	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
320.	0.00880844	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
330.	0.008371380000000001	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
340.	0.007961216	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
350.	0.007571223999999999	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
360.	0.007214852	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
370.	0.006871928	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
380.	0.0065552276	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
390.	0.0062553372	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
400.	0.0059736016	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
410.	0.0057073312	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
420.	0.005456526	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
430.	0.0052198412	0.3	0.	2.	2.0223748416156684	-2.
440.	0.004995932	0.3	0.	2.	2.0223748416156684	-2.
450.	0.0047841260000000005	0.3	0.	2.	2.0223748416156684	-2.
460.	0.0045837507999999996	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
470.	0.004394134	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
480.	0.0042146032	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
490.	0.0040438136000000005	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
500.	0.0038817652	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
550.	0.0031844864	0.3	-0.2	2.	2.0223748416156684	-2.009975124224178
600.	0.0026364804	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
650.	0.0022014376000000003	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
700.	0.0018511171999999998	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
750.	0.0015666920000000002	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
800.	0.0013340416	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
850.	0.0011410627999999998	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
900.	0.0009810316	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
950.	0.0008465516000000001	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
1000.	0.0007335884	0.3	-0.6	2.4	2.4186773244895647	-2.4738633753705965
1050.	0.00063736796	0.3	-0.6	2.4	2.4186773244895647	-2.4738633753705965
1100.	0.0005557386	0.3	-0.7	2.5	2.5179356624028344	-2.596150997149434
1150.	0.00048594348	0.3	-0.7	2.5	2.5179356624028344	-2.596150997149434
1200.	0.00042603264	0.3	-0.8	2.6	2.6172504656604803	-2.7202941017470885
1250.	0.00037445956000000004	0.3	-0.8	2.6	2.6172504656604803	-2.7202941017470885
1300.	0.00032987943999999997	0.3	-0.8	2.7	2.716615541441225	-2.816025568065745
1350.	0.0002911492	0.3	-0.9	2.7	2.716615541441225	-2.8460498941515415
1400.	0.0002575292	0.4	-0.9	2.8	2.82842712474619	-2.9410882339705484
1450.	0.00022814532000000001	0.4	-1.	2.8	2.82842712474619	-2.973213749463701
1500.	0.00020245964	0.4	-1.	2.9	2.9274562336608896	-3.0675723300355937
