mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	471.47392383566563	49.9	-38.9	8.	50.53721401106317	-39.714103288378546
15.	608.0139294605827	34.8	-29.2	5.9	35.29660040287166	-29.790099026354376
20.	587.5428046387657	25.7	-22.5	4.8	26.144406667583795	-23.00630348404541
25.	543.1304687358777	20.8	-18.2	4.3	21.23982109152523	-18.70106948813356
30.	493.1979280540686	18.5	-15.6	4.2	18.97076698502198	-16.15549442140351
35.	439.93895177540577	16.3	-13.9	4.	16.783622970026464	-14.464093473149294
40.	385.7315880941601	14.8	-12.9	3.9	15.305227865013968	-13.476646467129722
45.	333.8298518060434	13.5	-12.1	3.8	14.024621207005913	-12.682665335015349
50.	286.885558731634	12.5	-11.6	3.7	13.036103712382776	-12.175795661885921
55.	246.2083442998448	11.7	-11.1	3.7	12.271104269787621	-11.700427342623003
60.	211.80238132869275	11.1	-10.7	3.6	11.669190203266034	-11.289375536317321
65.	183.1259778207269	10.5	-10.3	3.5	11.067971810589327	-10.878419002777932
70.	159.2308996641028	10.1	-10.	3.5	10.689246933250255	-10.594810050208546
75.	139.38553136791054	9.7	-9.7	3.4	10.278618584226189	-10.278618584226189
80.	122.7731731095688	9.4	-9.5	3.4	9.99599919967984	-10.090094152187085
85.	108.77474692958207	9.1	-9.3	3.3	9.67987603226405	-9.868130522039117
90.	96.91546804131042	8.8	-9.1	3.3	9.398404119849285	-9.67987603226405
95.	86.79199206729479	8.6	-8.9	3.3	9.211405973031479	-9.49210198006743
100.	78.10056833180664	8.4	-8.8	3.2	8.988882021697693	-9.3637599285757
105.	70.58545775871804	8.2	-8.6	3.2	8.802272433866154	-9.176055797563569
110.	64.05674420930251	8.	-8.5	3.2	8.616263691415208	-9.082400563727631
115.	58.354461528175186	7.9	-8.3	3.1	8.48645980371085	-8.860022573334676
120.	53.33718377704669	7.7	-8.2	3.1	8.300602387778854	-8.766413177577247
125.	48.916991829460514	7.6	-8.1	3.1	8.207923001588162	-8.672946442818612
130.	44.98750902568264	7.5	-8.	3.1	8.115417426109392	-8.579627031520658
135.	41.49348731619979	7.4	-7.9	3.1	8.023091673413685	-8.48645980371085
140.	38.36041288965674	7.2	-7.8	3.	7.8	-8.357032966310472
145.	35.551023094044666	7.1	-7.7	3.	7.707788269017254	-8.263776376451629
150.	33.01929519567359	7.	-7.6	3.	7.615773105863909	-8.170679286326198
160.	28.649117165219394	6.9	-7.5	3.	7.523961722390672	-8.077747210701755
170.	25.040832416845547	6.7	-7.4	3.	7.340980860893182	-7.984985911070852
180.	22.027267745125002	6.5	-7.2	2.9	7.117583859709698	-7.762087348130012
190.	19.48744852166325	6.4	-7.1	2.9	7.026378868236469	-7.669419795525604
200.	17.321637016865207	6.3	-7.	2.9	6.93541635375988	-7.576938695805846
210.	15.47669329144569	6.2	-6.9	2.9	6.844705983459042	-7.484650960465692
220.	13.87680262000091	6.1	-6.8	2.9	6.754257916307312	-7.392563831310487
230.	12.488306380657551	6.	-6.7	2.9	6.664082832618454	-7.3006848993775915
240.	11.28854689573956	5.9	-6.6	2.9	6.57419196555744	-7.209022125087424
250.	10.231429288630077	5.9	-6.5	2.9	6.57419196555744	-7.117583859709698
260.	9.299008606041523	5.8	-6.5	2.9	6.48459713474939	-7.117583859709698
270.	8.474262466708211	5.8	-6.4	2.9	6.48459713474939	-7.026378868236469
280.	7.748265936626314	5.8	-6.3	2.9	6.48459713474939	-6.93541635375988
290.	7.097531794449355	5.8	-6.3	2.9	6.48459713474939	-6.93541635375988
300.	6.515606595228404	5.8	-6.2	2.9	6.48459713474939	-6.844705983459042
310.	5.998791035444469	5.7	-6.1	2.9	6.395310782127793	-6.754257916307312
320.	5.536255459177191	5.7	-6.1	2.9	6.395310782127793	-6.754257916307312
330.	5.124976157672126	5.7	-6.	2.9	6.395310782127793	-6.664082832618454
340.	4.7788696787846385	5.7	-5.9	2.9	6.395310782127793	-6.57419196555744
350.	4.546994999484303	5.7	-5.8	2.9	6.395310782127793	-6.48459713474939
360.	4.026980294233531	5.7	-5.8	2.9	6.395310782127793	-6.48459713474939
370.	3.6253805503471654	5.7	-5.7	2.9	6.395310782127793	-6.395310782127793
380.	3.3003233693874194	5.7	-5.7	2.9	6.395310782127793	-6.395310782127793
390.	3.0296596528436077	5.7	-5.6	2.9	6.395310782127793	-6.3063460101710245
400.	2.8031737688574268	5.7	-5.5	2.9	6.395310782127793	-6.217716622683925
410.	2.606608990968804	5.7	-5.5	3.	6.441273166075167	-6.264982043070834
420.	2.4347735598139395	5.7	-5.4	3.	6.441273166075167	-6.177378084592201
430.	2.2826937427249314	5.7	-5.4	3.	6.441273166075167	-6.177378084592201
440.	2.1460050951201275	5.7	-5.3	3.	6.441273166075167	-6.090155991434045
450.	2.0229126899696617	5.7	-5.3	3.	6.441273166075167	-6.090155991434045
460.	1.9106072389313302	5.6	-5.2	3.	6.352952069707436	-6.003332407921454
470.	1.807114458714553	5.6	-5.2	3.1	6.400781202322104	-6.053924347066125
480.	1.7119375308781835	5.6	-5.2	3.1	6.400781202322104	-6.053924347066125
490.	1.623653760220145	5.6	-5.1	3.1	6.400781202322104	-5.968249324550709
500.	1.5419348696529227	5.6	-5.1	3.1	6.400781202322104	-5.968249324550709
550.	1.2048808632119752	5.5	-5.	3.2	6.363175307973213	-5.936328831862332
600.	0.9557380185138665	5.5	-4.9	3.4	6.466065264130885	-5.964059020499379
650.	0.7651583325983021	5.5	-4.9	3.5	6.519202405202649	-6.021627686929839
700.	0.6175542155977309	5.4	-4.8	3.7	6.545991139621258	-6.060528029800704
750.	0.502143780441662	5.4	-4.8	3.9	6.661080993352356	-6.18465843842649
800.	0.410787591357652	5.5	-4.7	4.	6.800735254367722	-6.171709649683789
850.	0.33825950737339033	5.5	-4.7	4.2	6.920260110718383	-6.30317380372777
900.	0.2801372872183479	5.5	-4.8	4.4	7.043436661176133	-6.511528238439883
950.	0.23307756706419114	5.5	-4.8	4.6	7.170076708097341	-6.648308055437864
1000.	0.19499631849904597	5.5	-4.8	4.8	7.3	-6.788225099390856
1050.	0.16376374487588322	5.5	-4.8	5.	7.433034373659253	-6.931089380465383
1100.	0.13816714834488725	5.5	-4.8	5.2	7.569015788066505	-7.076722405181653
1150.	0.11701771264467647	5.6	-4.9	5.4	7.779460135510689	-7.291776189653658
