mR(GeV)	PDF(%)	alphaS(%)	scale(%)
200	89.53044911245912	90.37747966622814	99.8293113257281
260	88.19241674025805	93.37310007049385	98.67933382697485
300	89.38321470161578	94.7797479475719	98.68093889887226
400	91.68889135090966	95.60509336031741	99.33072740663074
500	92.94544745552128	94.5075905436005	99.08414348017494
600	93.21073420126783	92.40843138898892	98.29147769177902
700	93.82312833670356	90.46545403584865	98.98190127444174
750	93.93549606006415	89.23395571549835	98.86491925373029
800	94.1309862858479	87.82006950696535	98.54034189233822
900	94.34880576319519	85.22656972646287	98.75947633636393
1000	94.57815549746496	82.94743445008712	98.94285268917909
1500	95.56411292159886	83.04367300550382	98.29032270819341
1800	96.2337552099797	89.08288798876653	98.48155666483287
2000	96.20149781756352	92.70597160088442	99.09330417253001
2500	95.44179904663523	97.70702030461659	97.8897019986836
3000	93.58481418320443	98.90315497372082	98.6946466881959
3500	90.29366711074789	96.50765923360257	98.52370137656915
4500	73.2323496606358	23.891312146092105	98.6015265411994
