mR(GeV)	PDF(%)	alphaS(%)	scale(%)
200	90.67374305833235	92.07645490202503	99.6207331280898
260	91.93049912764904	95.71927243411086	99.32304005201374
300	92.05110476609622	96.0773073477008	99.13205772324761
400	93.95877867855515	96.69388423184489	99.3489800146267
500	94.45720091089579	95.32475733978622	99.01725612958603
600	95.10361128635849	94.04359764806959	99.0520684260998
700	95.08436113287885	91.98787151287996	99.56785923382206
750	95.60154635554304	91.46300805376079	99.48367926249723
800	95.64028244846658	90.28507136541764	98.9982095958694
900	95.43027553636925	87.87272923014623	99.42442514778695
1000	95.81384455669011	86.46473664074983	99.54309116272744
1500	96.67450714819446	87.53807623414028	98.15289037172758
1800	97.06784521682718	92.6672825524026	99.30871234776045
2000	97.08047040911524	94.92672634191705	99.14897448161528
2500	96.02833847751565	98.50932155972868	98.1040788367302
3000	94.85043321104826	99.28202226964167	99.2844582503396
3500	91.66266939790046	96.9240176783018	98.03339984213576
4500	76.02804676150224	26.008080502518972	99.43764822648863
