mR(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	7.2742459893659275	2.2068481729934963	11.887030684507973	3.3420750803853134	12.543569794759836
260	3.7612649115523635	2.6835825270463864	11.399099465246568	3.946762603988765	12.357913207750629
300	2.5474772667011263	2.9983025326807575	11.206174262212826	4.268683168852803	12.360817758894767
400	1.0519109421606587	3.7778589270602847	10.605520307149412	4.79615106669301	12.237334027992704
500	0.5508284919512353	4.602314794612811	10.434676510000623	5.058271184401367	12.475972215102754
600	0.31542103136730876	5.348586416727458	10.37950297855579	5.227132393730442	12.793137683955258
700	0.18766064237294267	6.120624868516648	10.101005705014076	5.415998970850508	12.993283260442109
750	0.14743366942846975	6.510241481516414	10.208833881273284	5.532023283672622	13.31190500920835
800	0.11583148511724584	6.8563028210060395	10.179292987437695	5.637427366199228	13.505831385242656
900	0.07245765733994154	7.7433659743137	10.062391197136995	5.971075413926933	14.030865077221074
1000	0.04674542006232817	8.494675361345411	9.987117851682298	6.329095160934372	14.5588281820414
1500	0.006194558505055317	13.530473766505263	10.523543891225664	9.181030270316958	19.44505112364368
1800	0.0020899223888479626	17.225368001090203	10.574114060779284	11.093595191231792	23.056301637736127
2000	0.0010242906790509632	20.034504202627517	10.75778545643776	12.172445823663477	25.79301734776034
2500	0.00018027246694924193	28.913891469824744	11.496995544167552	14.119070882925506	34.169316485239904
3000	0.0000321597244121517	40.355615790050756	11.885480894122203	14.585069951285611	44.52599967841971
3500	5.157066069508074e-6	55.90690883961147	13.027340624057201	14.10176938895859	59.11136912333538
4500	8.061302502697798e-8	116.91856866197377	13.440821494812635	31.165939247459274	121.74532085298561
