mR(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	20.536596867509104	2.2068481729934963	11.887030684507973	3.3420750803853134	12.543569794759836
260	10.928410301865064	2.6835825270463864	11.399099465246568	3.946762603988765	12.357913207750629
300	7.5355397205467325	2.9983025326807575	11.206174262212826	4.268683168852803	12.360817758894767
400	3.2792053486333663	3.7778589270602847	10.605520307149412	4.79615106669301	12.237334027992704
500	1.707605416478328	4.602314794612811	10.434676510000623	5.058271184401367	12.475972215102754
600	0.9672911670085838	5.348586416727458	10.37950297855579	5.227132393730442	12.793137683955258
700	0.5727112960666945	6.120624868516648	10.101005705014076	5.415998970850508	12.993283260442109
750	0.44965330301141637	6.510241481516414	10.208833881273284	5.532023283672622	13.31190500920835
800	0.3533346946177285	6.8563028210060395	10.179292987437695	5.637427366199228	13.505831385242656
900	0.22148263807604704	7.7433659743137	10.062391197136995	5.971075413926933	14.030865077221074
1000	0.14337976192894175	8.494675361345411	9.987117851682298	6.329095160934372	14.5588281820414
1500	0.01942791656232029	13.530473766505263	10.523543891225664	9.181030270316958	19.44505112364368
1800	0.00663765538167734	17.225368001090203	10.574114060779284	11.093595191231792	23.056301637736127
2000	0.00327802559827827	20.034504202627517	10.75778545643776	12.172445823663477	25.79301734776034
2500	0.0005865218387187744	28.913891469824744	11.496995544167552	14.119070882925506	34.169316485239904
3000	0.00010606448091888861	40.355615790050756	11.885480894122203	14.585069951285611	44.52599967841971
3500	0.000017203845700849666	55.90690883961147	13.027340624057201	14.10176938895859	59.11136912333538
4500	2.7390879183204926e-7	116.91856866197377	13.440821494812635	31.165939247459274	121.74532085298561
