mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
1150.	0.226663962119619	5.6	-4.8	5.1	7.5742986473996385	-7.003570517957251
1200.	0.19389088408679056	5.6	-4.8	5.3	7.710382610480494	-7.150524456289902
1250.	0.16638522362182642	5.7	-4.8	5.5	7.920858539325141	-7.3
1300.	0.1433055237360122	5.7	-4.8	5.7	8.061017305526642	-7.451845409024532
1350.	0.12376860552932042	5.7	-4.9	5.9	8.203657720797475	-7.669419795525605
1400.	0.10720648113056186	5.7	-4.9	6.1	8.348652585896719	-7.824321056807421
1450.	0.09313736236455653	5.8	-4.9	6.3	8.563293758829017	-7.981227975693966
1500.	0.08107279125657064	5.9	-5.	6.5	8.778382538941898	-8.200609733428363
1550.	0.07076742633888587	6.1	-5.	6.7	9.060905032059436	-8.360023923410745
1600.	0.06187826434658521	6.3	-5.	6.9	9.343446901438464	-8.521150157109075
1650.	0.0542662258615935	6.5	-5.1	7.1	9.626006440887103	-8.741853350405735
1700.	0.04767816828327258	6.8	-5.1	7.4	10.04987562112089	-8.987213138676529
1750.	0.04193654929440987	9.4	-1.7	9.1	13.083195328359201	-9.257429448826493
1800.	0.03695202898387466	9.1	-2.3	9.	12.798828071350908	-9.289241088485108
1850.	0.03264724450215349	8.8	-2.9	9.	12.58729518204765	-9.455686120002081
1900.	0.02887950243833703	8.6	-3.4	9.	12.448293055676348	-9.620810776644555
1950.	0.025576717371702144	8.4	-3.8	9.	12.310970717209914	-9.76933979345585
2000.	0.022693042724722678	8.3	-4.2	9.1	12.31665539016173	-10.022474744293447
2050.	0.020150006073844005	8.2	-4.6	9.2	12.323960402403117	-10.285912696499032
2100.	0.017921449024572083	8.1	-4.9	9.4	12.408464852672148	-10.600471687618434
2150.	0.015961370429422094	8.1	-5.1	9.6	12.560652849274993	-10.870602559196064
2200.	0.014242563842175149	8.1	-5.3	9.8	12.714165328483032	-11.14136436887332
2250.	0.012709828646518278	8.1	-5.5	10.	12.868954891520913	-11.412712210513327
2300.	0.011351506190224233	8.1	-5.7	10.2	13.024976007655445	-11.684605256490268
2350.	0.010156374136291854	8.2	-5.8	10.5	13.322537295875737	-11.995415791042843
2400.	0.009103467382239753	8.3	-5.9	10.7	13.541787178950937	-12.218837915284743
2450.	0.008161177832418952	8.3	-6.	11.	13.780058055030104	-12.529964086141668
2500.	0.007314748233530931	8.4	-6.1	11.3	14.080127840328723	-12.841339493993608
2550.	0.006558606923505485	8.5	-6.2	11.6	14.380890097626086	-13.152946437965905
2600.	0.005903595102236562	8.6	-6.2	12.	14.76346842716846	-13.507035203922436
2650.	0.0053053620673773425	8.7	-6.3	12.3	15.065855435387665	-13.819551367537226
2700.	0.004773078903999725	8.7	-6.3	12.6	15.311760186209813	-14.087228258248675
2750.	0.004289283870225091	8.8	-6.4	12.9	15.61569723067145	-14.4003472180361
2800.	0.0038777680495158447	8.9	-6.5	13.3	16.00312469488381	-14.803377992877166
2850.	0.0034860762962353633	8.9	-6.6	13.6	16.253307355735323	-15.116877984557526
2900.	0.003161576351464164	8.9	-6.7	13.9	16.505150711217393	-15.430489298787645
2950.	0.0028429784564444147	8.9	-6.8	14.3	16.843396332094073	-15.83445610054226
3000.	0.0025731797898656014	8.9	-6.9	14.6	17.098830369355678	-16.148374531202823
