mR(GeV)	ratio	PDF(%)	alphaS(%)	scale(%)	full(%)
200	1.1578218541241752	0.08547624581085851	0.21077271681283738	0.5386844270906523	0.5847326215806393
260	1.1549361801964708	0.18637461461074684	0.22563379483380558	0.5708142946452418	0.641463222105331
300	1.1727469496579723	0.1529595177939423	0.23451625566914414	0.36078336635300745	0.45668274074442433
400	1.1618306150284126	0.17867204978720594	0.22053669263570808	0.1930028049514348	0.34323492959339114
500	1.1916250102943164	0.18422099939615608	0.2315716793922997	0.09499050550603687	0.3107829072703018
600	1.2139283931262934	0.24154123962867313	0.23684536201638012	0.49520774983061966	0.5997237792870412
700	1.2289230182767934	0.23620330904773082	0.2357807565477167	0.5308453783583996	0.6270417722032432
750	1.2402418591755617	0.29000011647845086	0.2702701259738847	0.5041353189657024	0.6413255245038241
800	1.2435255634892766	0.31165759650586	0.30104950954606907	0.2976500829570785	0.5256965251379296
900	1.2475014111470704	0.2502866495821659	0.28213985546256526	0.547381866506787	0.6647354457075063
1000	1.2568074538167024	0.30749055224271005	0.35447689588717807	0.5655936229008536	0.7349152711043968
1500	1.3187521932297581	0.48865517039874684	0.5438324610488815	0.11746900151324198	0.7404975270481526
1800	1.3733293417799752	0.6309038678229992	0.6999352112302877	0.6143121329500768	1.124868164294679
2000	1.3756857071829138	0.7706554041554005	0.6897450834719703	0.2719268290284169	1.0693933946275938
2500	1.4631587581102845	0.8503613260368319	0.7267193182703835	0.3207290802134306	1.163659097528586
3000	1.5634004161278072	1.6310250755392848	0.8592655898510705	0.560586372467263	1.9268723963812557
3500	1.6231210629648858	1.9337082569134527	0.7010655120319039	0.29089440180226545	2.0773396515774007
4500	1.9595009389194673	4.02174888172246	0.5494510015812957	0.8271683010454632	4.1425315773122335
5000	2.118131386677326	5.184040647166224	0.5303544219399035	0.8214779954694129	5.275450629224318
6000	2.601248530477989	11.329419405065096	2.5626236228851935	0.531336482172118	11.627772888465007
6500	3.019016432886827	17.607325145351425	5.005135889697005	0.41721468299818	18.30965188473464
