mR(GeV)	ratio	PDF(%)	alphaS(%)	scale(%)	full(%)
200	2.5215067118097494	0.9455114502384451	1.5297260345931059	1.0973902686844748	2.106731839899739
260	2.7424046657441297	1.0378783528188187	1.475198605299372	1.4073703963188124	2.2878142041611875
300	2.8267744943069864	1.139465868191155	1.4710476685861824	1.5839467504907119	2.4436143346312957
400	3.2036239768803934	1.299446188038889	1.4521928518226637	1.2980035638636738	2.3414178880106897
500	3.562361770478174	1.5735842914482028	1.6174822260490613	1.5878667481775688	2.7593001076079378
600	3.918533147668046	1.7884540065725676	1.8158084831532009	1.5957602846097663	3.007021627300748
700	4.286142554306945	2.0753014903510687	2.131509880846425	1.0725847848208379	3.1623802378316985
750	4.447789197184926	2.1688747204707077	2.2472742912275154	1.2654469899158014	3.3698093977843886
800	4.691751235950017	2.279656037984353	2.4285256471457126	1.6584399645580978	3.7208858604378725
900	5.155583916914849	2.7321541699703986	2.857904934927652	1.2660630689443126	4.151530166109257
1000	5.602508054647504	2.9820787667063016	3.1967214395979666	1.132551181468904	4.516026340918804
1500	8.78466753896661	5.178170044199663	4.910471715804878	2.4614603321556054	7.548838615650888
1800	11.441914941419558	6.863668798666456	5.43959655610996	1.7689353342597234	8.93466800098489
2000	13.954272556550624	8.231304437468024	5.6202976684380745	1.9586987464880232	10.157687699650202
2500	23.862246496219324	13.255670551773019	5.312211992917132	3.0119189246959217	14.594658394213154
3000	43.04497200111958	19.877590346237998	3.919197480861562	2.5434160404873905	20.419296560407123
3500	91.12939682986116	31.79085139510046	3.7163951061849434	4.025878716510291	32.2595338535864
4500	662.5533619901964	104.75547918164064	30.64178372439754	3.104096535554916	109.18912374266012
