mR(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	51.78316683915528	1.7756828189875407	11.867853032647263	2.2771697672309967	12.214110169265432
260	29.97012340100097	1.9485949140885033	11.407331695850006	2.844462153550558	11.917013195483895
300	21.301271482878697	2.1354718003895488	10.864601635910187	3.228045876068438	11.533433517183152
400	10.50534087999628	2.6190835632620093	10.341841800202136	3.8546470673160798	11.343350234623184
500	6.083108254723856	3.1210698168043773	9.998037431345665	4.292871337001481	11.319477620279358
600	3.790362501369643	3.611574192404544	9.80079807239305	4.542723847163006	11.390147099780991
700	2.454722257403743	4.103462977053785	9.679614683457638	4.805333484282545	11.559609799618102
750	1.9999631036126981	4.359188900457565	9.564529033972816	4.840483854643757	11.572079651413063
800	1.6577584901767493	4.597771545927653	9.461567038984308	4.938895336852822	11.62124955287179
900	1.1418723267407407	4.995266068668179	9.492020268284302	5.036397385616046	11.849743900023652
1000	0.8032862710803377	5.457813246401432	9.461100018882036	5.142083681916819	12.072330495464405
1500	0.17066778797476687	7.876643121584359	9.174948346000436	5.936151340530263	13.470674695584389
1800	0.0759474882876079	9.487659973079984	9.38705486619197	6.786926213475441	14.973137889328427
2000	0.0457424626457249	10.627588018653636	9.46256381379635	7.439673750950244	16.057225368816884
2500	0.013995728690923191	13.603037287061978	9.51859123731743	9.184131264012764	18.973520222956818
3000	0.004565542611466842	17.65819910363074	9.867611264270844	10.970872527686517	23.01177506549586
3500	0.0015677760818724302	21.967431417644555	9.978765498323227	12.339108505092456	27.099767575754004
4500	0.0001814791909069971	34.01740559576651	10.8081513895216	13.876702883763675	38.29572956414278
5000	0.00006280899559622105	41.16212439449919	11.226638835333196	13.717924742637155	44.81673084297753
6000	6.451466174466356e-6	60.77606105818607	11.831740778170923	12.958912914750679	63.258620847456726
6500	1.865184108220806e-6	74.86267151936937	12.204465133484584	14.36131370017207	77.1985484799176
