mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	609.4990696811102	49.9	-38.9	8.	50.53721401106317	-39.714103288378546
15.	784.6583872810952	34.8	-29.2	5.9	35.29660040287166	-29.790099026354376
20.	763.113803079231	25.7	-22.5	4.8	26.144406667583795	-23.00630348404541
25.	711.1948011337854	20.8	-18.2	4.3	21.23982109152523	-18.70106948813356
30.	650.9041546556899	18.5	-15.6	4.2	18.97076698502198	-16.15549442140351
35.	584.789867715453	16.3	-13.9	4.	16.783622970026464	-14.464093473149294
40.	516.0545806705475	14.8	-12.9	3.9	15.305227865013968	-13.476646467129722
45.	449.2224666457098	13.5	-12.1	3.8	14.024621207005913	-12.682665335015349
50.	388.08910946893116	12.5	-11.6	3.7	13.036103712382776	-12.175795661885921
55.	334.662722355925	11.7	-11.1	3.7	12.271104269787621	-11.700427342623003
60.	289.1626618469386	11.1	-10.7	3.6	11.669190203266034	-11.289375536317321
65.	251.0255068413993	10.5	-10.3	3.5	11.067971810589327	-10.878419002777932
70.	219.08968867975761	10.1	-10.	3.5	10.689246933250255	-10.594810050208546
75.	192.45362499975292	9.7	-9.7	3.4	10.278618584226189	-10.278618584226189
80.	170.0696866854277	9.4	-9.5	3.4	9.99599919967984	-10.090094152187085
85.	151.14005237443723	9.1	-9.3	3.3	9.67987603226405	-9.868130522039117
90.	135.05031967006013	8.8	-9.1	3.3	9.398404119849285	-9.67987603226405
95.	121.27314216807147	8.6	-8.9	3.3	9.211405973031479	-9.49210198006743
100.	109.41081722874534	8.4	-8.8	3.2	8.988882021697693	-9.3637599285757
105.	99.12592291542265	8.2	-8.6	3.2	8.802272433866154	-9.176055797563569
110.	90.16812297741849	8.	-8.5	3.2	8.616263691415208	-9.082400563727631
115.	82.32529398512928	7.9	-8.3	3.1	8.48645980371085	-8.860022573334676
120.	75.4083354983194	7.7	-8.2	3.1	8.300602387778854	-8.766413177577247
125.	69.30134506112317	7.6	-8.1	3.1	8.207923001588162	-8.672946442818612
130.	63.860498875004566	7.5	-8.	3.1	8.115417426109392	-8.579627031520658
