mR(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	20.992126766934174	13.	-13.5	16.5	-14.1	21.005951537600005	-21.005951537600005
260	11.888382952298294	13.6	-13.6	16.1	-13.3	21.07534104113146	-21.07534104113146
300	8.36339725730264	14.2	-14.1	15.5	-13.1	21.021179795625173	-21.021179795625173
400	3.967664233785639	16.	-15.8	15.	-13.3	21.93171219946131	-21.93171219946131
500	2.3294822641410655	18.	-18.2	15.3	-13.6	23.62392854713204	-23.62392854713204
600	1.4945245192623677	20.1	-20.3	15.4	-13.9	25.321334877924585	-25.321334877924585
700	0.9826400758111826	22.2	-22.6	15.3	-14.	26.961639416029584	-26.961639416029584
750	0.8061312279987655	23.5	-23.7	15.4	-14.2	28.09644105576363	-28.09644105576363
800	0.6730691221442021	24.6	-24.8	14.9	-14.	28.760563276820573	-28.760563276820573
900	0.4688791539200102	26.7	-26.6	14.8	-14.1	30.52752856030111	-30.52752856030111
1000	0.33043987609034525	28.9	-28.4	15.2	-14.4	32.65348373451139	-32.65348373451139
1500	0.0720574281455919	41.3	-38.3	14.8	-14.6	43.871744893496086	-43.871744893496086
1800	0.032695088327857925	49.8	-44.7	15.6	-15.2	52.18620507375488	-52.18620507375488
2000	0.01989289323550617	55.9	-49.3	15.6	-15.4	58.03593714242926	-58.03593714242926
2500	0.006343106366216659	71.3	-61.5	15.6	-15.7	72.98664261356319	-72.98664261356319
3000	0.0021336701955940282	91.5	-78.3	16.4	-16.4	92.95810884479094	-92.95810884479094
3500	0.0007733065756649935	113.1	-96.2	16.3	-16.6	114.26854335292806	-114.26854335292806
4500	0.0001024614238987673	173.	-144.	17.7	-17.8	173.90310520516877	-173.90310520516877
5000	0.000038588569556802475	209.	-174.4	18.6	-18.5	209.82602317157898	-209.82602317157898
6000	4.896708049912331e-6	302.7	-277.1	19.4	-19.2	303.32103454920497	-303.32103454920497
6500	1.625972085807047e-6	361.8	-363.3	20.3	-19.7	362.3690522105882	-362.3690522105882
7000	5.107702353392276e-7	442.5	-510.7	21.2	-20.2	443.00755072571843	-443.00755072571843
