mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	14.024128500499998	4.366019832185397	4.774547732127578	6.469809519715461
260	7.152282225591715	3.2607799060588665	2.919727593913489	4.376927554622892
300	4.919525291777777	2.8660271558830765	1.9389988687040278	3.4603219895111983
400	2.2806013871874997	2.7194676788081487	0.7367246300580229	2.817493147572201
500	1.23426471624	3.2314113019455992	1.818743099695395	3.7080784059983642
600	0.7374463499444445	3.873605546619678	2.966829543627245	4.879231237781437
700	0.47209908775510206	4.5123953757007245	3.951257448463429	5.997845233972197
750	0.38535004714666665	4.830866076909539	4.3717845800902895	6.5153486067708295
800	0.3178865230781249	5.141738816162943	4.788756382201647	7.0263550822395615
900	0.22256886543209875	5.764236402448807	5.533138433431234	7.990121540178836
1000	0.16063765700999996	6.296846774759405	6.200076230486733	8.83692393136008
1500	0.042749281891999995	8.715246281627362	8.825854214056122	12.40367769482873
1800	0.02256964197901234	10.130712751343012	10.076322893254764	14.288583691162465
2000	0.015379828238499997	11.029308941615458	10.823674594783272	15.4530769577892
2500	0.0065542992224	13.535229987030132	12.529403883048698	18.444197257304406
3000	0.003121215944444444	16.16173955152764	14.092524714934676	21.442972699055918
3500	0.0016058793243265304	19.036762461759245	15.602878637501053	24.613982749689914
4500	0.0004975922684839505	25.50293656150987	18.663744887018513	31.60277118336471
5000	0.000292161068056	28.964490483584793	20.281195128357645	35.359137218096706
6000	0.00010843128639166665	36.398468725048986	23.75776804861204	43.46584944735372
6500	0.00006826402630295857	40.359701547680295	25.60006929442254	47.79402741867505
7000	0.00004398215204489795	44.76226849694762	27.62616932820654	52.601006765494226
