mG(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	59049.62027775	3.2403964309789375	18.131647395478907	0.09051512049558247	18.419147626611725
260	12956.229976553252	3.223069170766623	17.67189389171697	0.08735350967130275	17.963619881173774
300	5751.4409876	3.425085213343847	17.080930748319034	0.09051122679353028	17.42118240044897
400	1154.6973021375002	2.996195213811533	15.900196657568022	0.09763192418443666	16.180326680917922
700	61.89695031306123	2.5516344749118827	13.167447815062483	0.11098617420298193	13.41286093221043
750	43.982056248000006	2.458384269550874	12.980437851004956	0.11121464463619138	13.211653519441043
800	32.19145113375001	2.4162078806894436	12.966836110373613	0.11143793174667874	13.19050103857419
900	18.348675058888887	2.43469600669637	12.741033016066133	0.11639561922270379	12.972093697691395
1000	11.247610843619999	2.4493045300903398	13.070818068760737	0.11752140445056036	13.298841639340894
1500	1.7130282744400003	2.9757633154985452	15.996082879090675	0.1140640538456929	16.27092023804998
1800	0.7099869840833333	3.4725115467674343	18.08422191580166	0.10753917977014428	18.414911985061995
2000	0.41619336524999995	3.782796762712135	19.79253108671109	0.10356115037786434	20.151043721809494
2500	0.12165747269471996	4.629426888473363	24.415388744108363	0.09349639286887529	24.850584347599007
3000	0.039201461738	5.6980964203756	29.90839259106562	0.08823504459677793	30.44647821374914
3500	0.013262362045714286	7.342460102213814	36.9282794800181	0.09034256847485438	37.651264354422494
4500	0.0016068443450222218	15.268554922382608	61.291821274281624	0.14589492498475592	63.16515977867413
5000	0.0005575736903399999	23.346424633413253	83.713463903113	0.2795501312770017	86.90844452696956
6000	0.00006682087344750001	57.50463033256696	164.3873356204727	1.5135064776497014	174.16161840067116
6500	0.000022954717567171593	91.03867779464558	236.6518871718478	3.6396377429972873	253.58510113864048
7000	8.200953897612245e-6	141.58899081730522	322.3808978914114	7.404506575928826	352.18136288504616
