mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	39275.97974999999	12.	-12.4	3.2	-2.2	12.41933975700802	-12.41933975700802
260	14445.394571005914	12.7	-12.6	2.4	-1.2	12.924782396620841	-12.924782396620841
300	8033.667566666667	13.4	-12.9	3.	-1.6	13.731715115017497	-13.731715115017497
400	2481.7945187499995	14.8	-14.5	2.2	-0.6	14.962620091414472	-14.962620091414472
500	937.0493319999999	16.5	-16.6	2.4	-0.9	16.673631877908303	-16.673631877908303
600	415.6188333333333	18.1	-18.2	2.3	-1.	18.245547402037573	-18.245547402037573
700	205.60409224489794	19.8	-20.	1.7	-1.	19.872845795205073	-19.872845795205073
750	146.42821955555556	20.8	-21.1	1.7	-0.9	20.869355524308844	-20.869355524308844
800	105.82236140624998	21.6	-21.8	2.1	-1.1	21.70184323968819	-21.70184323968819
900	60.50468506172839	23.	-23.1	1.4	-1.	23.04256930118688	-23.04256930118688
1000	36.1295007	24.6	-24.3	1.3	-1.2	24.634325645326687	-24.634325645326687
1500	4.104032244444444	31.7	-29.4	1.	-1.7	31.71576894858455	-31.71576894858455
1800	1.4021476327160491	36.2	-32.4	1.8	-2.6	36.24472375394797	-36.24472375394797
2000	0.7389458374999999	38.8	-34.5	1.7	-2.7	38.83722441163889	-38.83722441163889
2500	0.1726236152	45.6	-40.5	1.4	-3.	45.62148616605996	-45.62148616605996
3000	0.04560398022222222	53.1	-47.5	1.8	-3.5	53.13049971532359	-53.13049971532359
3500	0.013291819591836734	63.4	-55.2	2.2	-4.2	63.438158863573584	-63.438158863573584
4500	0.001273477837037037	102.4	-78.9	2.6	-5.1	102.43300249431334	-102.43300249431334
5000	0.00039899408	147.1	-103.1	3.5	-5.8	147.14163244982706	-147.14163244982706
6000	0.00003818396163888889	352.6	-216.5	4.7	-6.6	352.6313230556809	-352.6313230556809
6500	0.000011755951573964495	600.8	-381.4	5.	-6.9	600.8208052323088	-600.8208052323088
