mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	45546.93449999999	11.9	-12.3	3.5	-2.2	12.404031602668546	-12.404031602668546
260	16613.18023668639	12.5	-12.5	2.5	-1.4	12.747548783981962	-12.747548783981962
300	9267.485044444444	13.	-12.8	2.4	-1.1	13.219682295728592	-13.219682295728592
400	2868.6867562499992	14.4	-14.	2.4	-0.9	14.598630072715727	-14.598630072715727
500	1116.009912	16.	-16.	2.5	-1.	16.194134740701646	-16.194134740701646
600	497.1127222222222	17.3	-17.3	2.3	-1.	17.452220489095364	-17.452220489095364
700	246.85663142857143	19.1	-19.3	1.6	-0.8	19.166898549321957	-19.166898549321957
750	180.3296773333333	19.9	-20.1	1.7	-1.	19.972481067709136	-19.972481067709136
800	132.22638140624997	20.6	-20.8	1.9	-1.2	20.687435800504616	-20.687435800504616
900	75.372792345679	22.1	-22.2	1.	-0.7	22.12261286557264	-22.12261286557264
1000	44.35875359999999	23.5	-23.4	1.3	-1.1	23.535929979501553	-23.535929979501553
1500	5.336871795555555	30.1	-28.3	0.9	-1.6	30.11345214351885	-30.11345214351885
1800	1.855796947530864	34.1	-30.9	1.2	-1.9	34.121107836645635	-34.121107836645635
2000	0.9806159649999998	36.1	-32.3	2.	-2.7	36.15535921547455	-36.15535921547455
2500	0.2410393648	43.1	-38.2	1.5	-2.8	43.126094189017394	-43.126094189017394
3000	0.06705317177777777	49.5	-44.3	2.1	-3.6	49.54452542915312	-49.54452542915312
3500	0.020716079183673464	57.4	-50.9	2.3	-4.1	57.446061657871724	-57.446061657871724
4500	0.002286899619753086	86.2	-69.	2.3	-4.7	86.23067899535525	-86.23067899535525
5000	0.000772170896	114.4	-85.1	2.8	-5.2	114.4342606040691	-114.4342606040691
6000	0.00008858385722222222	236.6	-149.2	4.1	-6.2	236.6355214248275	-236.6355214248275
6500	0.000029605138532544372	364.6	-228.9	4.5	-6.5	364.6277691015867	-364.6277691015867
