mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	15732.395249999998	13.7	-13.5	2.4	-0.8	13.908630414242804	-13.908630414242804
260	5299.031627218934	15.3	-15.1	2.5	-0.6	15.502902953963172	-15.502902953963172
300	2889.7733	16.2	-16.2	2.2	-0.5	16.348700254148646	-16.348700254148646
400	802.6638718749998	19.	-19.2	2.	-0.7	19.1049731745428	-19.1049731745428
500	280.469368	21.7	-21.9	1.9	-1.	21.783020910791965	-21.783020910791965
600	114.70264861111112	24.3	-24.2	1.3	-0.9	24.334748817277735	-24.334748817277735
700	52.38892857142857	26.7	-26.2	1.4	-1.3	26.736678926149374	-26.736678926149374
750	36.48318417777778	27.8	-27.	1.8	-1.7	27.85821243367923	-27.85821243367923
800	25.922696718749993	29.2	-28.	1.8	-1.9	29.25542684699712	-29.25542684699712
900	13.489955074074071	31.6	-29.7	1.5	-2.	31.63558123379433	-31.63558123379433
1000	7.491407229999999	33.8	-31.	1.3	-2.	33.82499076126999	-33.82499076126999
1500	0.5945794133333332	45.5	-40.1	1.9	-3.3	45.539653050940125	-45.539653050940125
1800	0.16334997283950614	52.9	-47.	2.	-3.8	52.9377936827745	-52.9377936827745
2000	0.07290443299999999	59.1	-52.1	1.8	-4.	59.12740481367333	-59.12740481367333
2500	0.010484156207999999	82.5	-67.2	2.3	-5.	82.53205437888965	-82.53205437888965
3000	0.001617164731111111	131.7	-95.4	3.7	-6.2	131.75196393223138	-131.75196393223138
3500	0.00024308462857142851	253.2	-159.6	4.8	-7.	253.24549354332052	-253.24549354332052
4500	5.5582454172839495e-6	1338.1	-959.2	5.8	-7.3	1338.1125700029875	-1338.1125700029875
5000	1.092539672e-6	2459.	-2024.	5.4	-6.7	2459.00592923238	-2459.00592923238
6000	6.340224555555555e-8	2031.1	-4455.9	8.2	-9.3	2031.1165525395138	-2031.1165525395138
6500	8.554833041420117e-9	980.1	-8799.4	11.6	-12.1	980.1686436527135	-980.1686436527135
