mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	13.182537035249997	4.093998911425237	4.791412994778136	95.2965679687241
260	6.702732519526626	3.068750548760459	2.7642819272046077	97.28413076685563
300	4.598879436555555	2.7665189614611765	1.6697116263565035	98.3691986284732
400	2.1223973006874997	2.829261167213311	0.4749601203491655	99.5652463553342
500	1.1426134290399999	3.4664023790256002	2.0879797238674906	97.97336199195728
600	0.6798138717222222	4.158345952353729	3.3868004812605372	96.70264816594847
700	0.4329959914693878	4.869286222356194	4.487550239353392	95.63648889202945
750	0.35246302529777773	5.195788609191896	4.968459620523131	95.17347259697709
800	0.2901347978906249	5.530283174181561	5.438855708527468	94.72272188709172
900	0.20223523466666662	6.114277171232793	6.287796048544236	93.91145592932686
1000	0.145391535795	6.749562551851962	7.067365365729739	93.17741772934112
1500	0.03787835955555555	9.26673423000083	10.11324628062288	90.36316095344067
1800	0.019763173543209875	10.845211539593516	11.646264356187789	89.01685916474017
2000	0.013364064672749998	11.798777550790215	12.552354102309792	88.24002450555443
2500	0.005593521477760001	14.493624451017315	14.665538860083965	86.55654456924078
3000	0.0026168828636666665	17.494183238734053	16.564409992192324	85.24989224123031
3500	0.001323446119918367	20.798496050341672	18.326155931129374	84.28044994506301
4500	0.0003951033806469135	27.86920482193257	21.541212007591994	83.26147963280773
5000	0.00022761497427600002	31.814361984314687	23.07638848137791	83.24299152203083
6000	0.00008164872727777777	40.04545918484184	26.122228782126143	84.03311181579166
6500	0.00005082904047337277	44.756580894341475	27.689041163314254	85.04132113997638
