mG(GeV)	XS(pb)	pdf(%)	scale(%)	alphaS(%)	full(%)
200	14.262527463300001	1.6656384737579193	1.3108005040555653	0.0017969175884459526	2.119563513248644
260	7.048721093565088	1.7406340474448272	0.9392191708124016	0.001055590710903606	1.9778623657741443
300	4.7865940901	1.7360724297090253	0.9108813717771405	0.0007584302219185613	1.9605234899501727
400	2.16654060481875	1.8653253060640043	1.5270109630044686	0.0003330698322220167	2.410643270701537
500	1.147840838244	2.0619147921112235	2.2474769534757804	0.0002123935428214938	3.050023814059793
600	0.6688431644	2.254100755573374	2.7965881968625443	0.00023822864740935995	3.5919181169825336
700	0.41783283934897963	2.456588578594991	3.3669154363913307	0.0002253375070850815	4.167846806241034
750	0.337394088096	2.4861572780521843	3.6147462577734544	0.0002445748371443108	4.387182298389143
800	0.27440584066406254	2.6570289457489937	3.8279169385554646	0.00030568841804725396	4.659694293301637
900	0.1860749965	2.8720517227516242	4.259772344472401	0.0003239711203988436	5.137542362345295
1000	0.12906443400120002	3.250991949532093	4.6519734230717	0.0005505887004944474	5.67536830389781
1500	0.028102854646800002	4.383866886920677	6.248836168583755	0.0005922640336426455	7.633232758408464
1800	0.012639457685	4.911425125451632	6.976576412683849	0.0005514857571796577	8.53198190369238
2000	0.0077532764328	5.51468533534179	7.471994057143188	0.0005258715902241328	9.286681298387325
2500	0.0023895426867839996	6.963113816746221	8.47862720774566	0.00042250126519341637	10.971420753616513
3000	0.0007824391260000002	9.570040668809122	9.460808236493746	0.0002874373199565735	13.457063977345445
3500	0.0002644454208783674	13.379425206177464	10.408918722394372	0.00018700618431970477	16.951537034060035
4500	0.00002967335923688888	39.62133771917203	12.290346936802653	0.00015374945877043606	41.48376827728719
5000	9.616608124199998e-6	77.72661100455706	13.69637809525208	0.00019263316588772665	78.92412071845862
6000	9.085659954250001e-7	251.69226146184317	23.749375051289395	0.00024148198000755507	252.8102594735895
6500	2.7297038328497037e-7	471.20391827727053	40.56351370299736	0.00026329067611800155	472.9466473544198
7000	8.776884848142858e-8	783.7866035196739	60.03026982005747	0.00022283961058251246	786.0821033146445
