mG(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	1448.3100045375002	4.877466810235362	21.0115006095401	0.5611480008659803	21.577481952918593
260	305.4527180547337	4.781786982685464	20.935858082955622	0.190189571944629	21.475842532732326
300	130.920372567	4.825057596915348	20.856780260486456	0.10533947000738074	21.4078854642795
350	52.9635542892245	4.8254962277220885	20.769741569785012	0.05881878875068023	21.32301663389413
400	24.113306239875	4.697994785585491	20.598781846933566	0.034292272052231565	21.12775767900775
450	12.152173125777777	4.73721986326334	20.4900273735042	0.021583507245288236	21.03052399840844
500	6.575709948839999	4.798313450007148	20.458716838543953	0.014675693256558896	21.01387927109638
550	3.7820245387834706	4.453914378968213	20.29811666627332	0.00977049096334778	20.781024733042308
600	2.290633081175	4.540746081364941	20.262221769193843	0.006883887721073483	20.764779155756365
650	1.4476964821349112	4.532102468716819	20.187019805928973	0.005187785289077041	20.689508170689653
700	0.9489443130734695	4.466122157862032	20.06177742296286	0.0035960074501854293	20.552887228531134
750	0.639556998928	4.463505918148818	20.06841703908618	0.0029376385795072857	20.55879996900973
800	0.44158248073125006	4.444746166680524	19.979885022583428	0.0022746417026365336	20.468306700259056
900	0.2251024198888889	4.3950551021311774	19.997752510334482	0.001405115487654816	20.475024219514562
1000	0.1232031376215	4.3580817636825975	20.09107899913333	0.0010392394035672412	20.558315424381874
1100	0.07155074811421487	4.334175912709234	20.154255638225436	0.00074272951987095	20.61502126423589
1200	0.043147285821250006	4.532324428928141	20.258232553599743	0.0005315852715319631	20.759045045651064
1300	0.027036388467159764	4.502380345123493	20.43370924490183	0.00039563154625175923	20.923859644765955
1400	0.017371824444183673	4.6412248218398595	20.77925736658981	0.0003233985250440103	21.291277666181188
1500	0.0115166120656	4.747277105162271	21.02083157032087	0.0002456342089710402	21.550220413752907
1600	0.007781089354804689	4.733483613814302	21.333456121441632	0.00019658443959889814	21.85228174004649
1700	0.005361021057301037	4.849265785189019	21.660899442960996	0.00016828402467705444	22.19707060316276
1800	0.0037400560884999997	5.060171131767236	22.01124098586798	0.00013551556095934628	22.58539487454424
1900	0.0026510916053268684	5.1637096269465825	22.455304562947635	0.00011499517190101583	23.04136714996273
2000	0.00189656115057	5.330596554539923	22.750162386913424	0.00009433094976228168	23.366325091188422
2500	0.0004016431659887999	6.436545121455002	25.497504764320922	0.000041683496105562474	26.297373677020147
3000	0.00009817146656100002	7.959235107272746	29.245866626428942	0.00001999281777036631	30.309571726174433
3500	0.00002602714302881633	9.813558890905947	33.98803053350727	0.000010278236709274845	35.3764350613796
4000	7.1822069877375e-6	12.159996848921828	40.758646048609	4.748159903404976e-6	42.533901197534206
4500	2.0372363905333324e-6	15.31138650798918	49.60167233167114	2.1491112476518475e-6	51.91112072471088
5000	5.782216339799999e-7	19.287537890208863	62.097543683877554	9.303866843234957e-7	65.0239498141825
6500	1.2400765170603549e-8	34.5114538101449	129.31727260911612	2.0539821548261663e-8	133.84318226622608
