mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	60.708709539999994	11.817173210332326	14.136002541101425	18.424770026380845
260	32.24163461242603	10.326693366561297	12.425978201291272	16.15690348259675
300	22.79041797888889	9.531526577871245	11.483522882386087	14.923849928719823
400	11.301470643749997	8.050086817378647	9.684710998380803	12.593550924560217
500	6.526897717199999	6.965590553263675	8.327583916885779	10.856707864195794
600	4.1540287452777775	6.116418247463367	7.2405477897802	9.478190991639375
700	2.828744688693878	5.439531896312481	6.356013244138674	8.365847931361595
750	2.3791573663644443	5.148017294164791	5.964692725314455	7.879063482955254
800	2.0217182223437495	4.874442319820389	5.592580369169308	7.418702252744337
900	1.5007316955925925	4.3931054641062826	4.936695045604469	6.6083533192510355
1000	1.1479441072999998	4.00274126295309	4.362280155751734	5.920424459058039
1500	0.40171923564444445	2.7554161045032255	2.2400622163961654	3.551083868663401
1800	0.24786456854320982	2.43047464191863	1.3552326596641482	2.7827796439585106
2000	0.18688361961249997	2.3635534075666276	0.9265365511235659	2.538671836017363
2500	0.101769307664	2.51733465903212	0.8609165539567566	2.660479486566498
3000	0.06129318371111111	2.8245268869213898	1.5959207224760261	3.2442125527422268
3500	0.0395581315510204	3.2602824665333117	2.3056542879672346	3.9931796174485106
4500	0.019017631228148146	4.048803606052666	3.500723251426336	5.352370869386953
5000	0.0138737869444	4.438528805865536	4.000441912772684	5.975288566920137
6000	0.00793432651611111	5.16986641717193	4.875086394481372	7.10591205441353
6500	0.006171666260591715	5.4842527588442325	5.27230026709328	7.607508030181924
7000	0.004877439186530611	5.821861032864284	5.642274767091363	8.107362729848683
10000	0.0014857248676	7.721481206350169	7.548033764076726	10.797874129830424
12500	0.0006695524350527999	9.313884230192489	8.89928276261385	12.88199026324676
15000	0.0003365547662355555	11.055286325176313	10.173850907307706	15.024200411860733
30000	0.000016390539896666664	24.480200932936526	17.904133500578563	30.328835027469914
40000	3.5418150730625e-6	36.39260207883283	24.172965202696297	43.689286246848134
50000	9.168649256e-7	50.55194634695073	31.49488020284591	59.560278361140995
