mG(GeV)	Gamma[ktilda=0.1](GeV)	gluglu	WW ZZ	γγ	tt	hh 
200	0.005102120251947017	0.002341911973361936	0.6798894944629572	0.31745195805090004	0.000292738996670242	0.	0.
201	0.005189582240694957	0.0023371524604423755	0.6770240564187985	0.32032279892649107	0.00029214405755529694	0.	0.
202	0.00527561835372368	0.0023335225827648496	0.6743810658352154	0.32296990997855574	0.0002916903228456062	0.	0.
203	0.0053603459468308644	0.0023309156880733537	0.6719371716958313	0.3254167632952149	0.0002913644610091692	0.	0.
204	0.005443870267720147	0.002329238744492092	0.6696722540463702	0.3276835844406188	0.0002911548430615115	0.	0.
205	0.005526286234924716	0.0023284101186186717	0.6675688699155652	0.32978790905634914	0.00029105126482733396	0.	0.
206	0.0056076798839744466	0.002328357790265014	0.6656118118785219	0.3317450263246849	0.00029104472378312676	0.	0.
207	0.005688129555030366	0.0023290179042303005	0.6637877529506097	0.3335683357187386	0.00029112723802878756	0.	0.
208	0.005767706877256434	0.0023303335851841034	0.6620849584003837	0.33526963653488273	0.0002912916981480129	0.	0.
209	0.00584647759164034	0.0023322539600871424	0.6604930499744021	0.33685936477768086	0.0002915317450108928	0.	0.
210	0.005924502244131289	0.0023347333458729434	0.6590028115631853	0.33834678841607035	0.00029184166823411793	0.	0.
211	0.0060018367737183585	0.0023377305698765796	0.6576060279214142	0.33974016943461816	0.00029221632123457245	0.	0.
212	0.0060785330146744644	0.002341208397753307	0.6562953499663841	0.34104689918449166	0.00029265104971916336	0.	0.
213	0.006154639128121085	0.00234513304908477	0.6550641816078921	0.3422736121034566	0.0002931416311355963	0.	0.
214	0.0062301999749678726	0.002349473785013626	0.6539065841426815	0.3434262817895501	0.00029368422312670326	0.	0.
215	0.0063052574398948	0.002354202555424799	0.6528171950705074	0.3445103025855351	0.0002942753194280999	0.	0.
216	0.006379850714190762	0.002359293695650313	0.651791158823157	0.345530559194181	0.00029491171195628914	0.	0.
217	0.006454016543810301	0.0023647236645930837	0.6508240673900774	0.3464914863499181	0.00029559045807413546	0.	0.
218	0.006527789447862973	0.0023704708176738023	0.6499119092094175	0.3473971201855465	0.0002963088522092253	0.	0.
219	0.006601201911837029	0.0023765152092001533	0.6490510249967903	0.34825114262782497	0.00029706440115001917	0.	0.
220	0.0066742845591272314	0.0023828384197109396	0.6482380694248785	0.3490569199138633	0.00029785480246386745	0.	0.
221	0.006747066303846251	0.002389423404612953	0.6474699777593146	0.3498175361270707	0.0002986779255766191	0.	0.
222	0.006819574487419443	0.002396254361046538	0.6467439367107776	0.350535822496193	0.00029953179513081727	0.	0.
223	0.006891835001071143	0.0024033166104179323	0.6460573588881092	0.3512143830755457	0.00030041457630224154	0.	0.
224	0.006963872395988701	0.002410596494446524	0.6454078603386931	0.3518556173226432	0.0003013245618058155	0.	0.
225	0.0070357099826846466	0.002418081282911859	0.6447932407451943	0.35246174000618274	0.0003022601603639824	0.	0.
226	0.0071073699208565825	0.0024257590915629777	0.6442114659157482	0.35303479880904703	0.0003032198864453722	0.	0.
227	0.00717887330086038	0.002433618808882799	0.6436606522607456	0.35357668993465435	0.0003042023511103499	0.	0.
228	0.007250240217757736	0.002441650030591933	0.6431390529957967	0.3540891719783483	0.00030520625382399164	0.	0.
229	0.00732148983876944	0.002449843000936432	0.642645045849054	0.35457387828672243	0.000306230375117054	0.	0.
230	0.007392640464855678	0.0024581885599384325	0.6421771220833348	0.35503232799538065	0.00030727356999230406	0.	0.
231	0.007463709587051654	0.0024666780959019057	0.6417338766704919	0.3554659359084815	0.0003083347619877382	0.	0.
232	0.007534713938107285	0.0024753035025614463	0.6413139994782281	0.3558760213605681	0.0003094129378201808	0.	0.
233	0.007605669539911952	0.002484057140343319	0.6409162673487445	0.35626381618189684	0.0003105071425429149	0.	0.
234	0.007676591747126879	0.002492931801277125	0.6405395369648701	0.3566304718721393	0.0003116164751596406	0.	0.
235	0.007747495287397714	0.0025019206771555286	0.6401827384131437	0.35697706607344665	0.0003127400846444411	0.	0.
236	0.007818394298476469	0.002511017330590076	0.6398448693650991	0.35730460842202066	0.0003138771663237595	0.	0.
237	0.007889302362544492	0.002520215668654625	0.639524989808078	0.35761404584722134	0.0003150269585818281	0.	0.
238	0.007960232537995512	0.0025295099188453736	0.6392222172655339	0.35790626737855386	0.0003161887398556717	0.	0.
239	0.008031197388909417	0.0025388946071187965	0.6389357224542135	0.358182108513417	0.00031736182588984956	0.	0.
240	0.008102209012422592	0.00254836453779688	0.6386647253320139	0.35844235519205875	0.00031854556722461	0.	0.
241	0.008173279064178873	0.002557914775153352	0.6384084914958409	0.3586877474206206	0.000319739346894169	0.	0.
242	0.008244418782026065	0.0025675406265158376	0.6381663288935936	0.35891898257833704	0.0003209425783144797	0.	0.
243	0.00831563900810631	0.002577237626737262	0.6379375848185638	0.3591367184407609	0.00032215470334215774	0.	0.
244	0.008386950209473413	0.0025870015239061557	0.6377216431581716	0.3593415759472535	0.00032337519048826946	0.	0.
245	0.008458362497357527	0.002596828266179508	0.6375179218721103	0.3595341417377834	0.0003246035332724385	0.	0.
246	0.008529885645185637	0.0026067139896343862	0.6373258706777558	0.35971497048131074	0.0003258392487042983	0.	0.
247	0.008601529105456111	0.0026166550070454374	0.6371449689231053	0.3598845870155861	0.0003270818758806797	0.	0.
248	0.008673302025556343	0.002626647797505053	0.6369747236296498	0.3600434883160624	0.00032833097468813163	0.	0.
249	0.008745213262604305	0.002636688996811524	0.6368146676894502	0.3601921453097311	0.0003295861246014405	0.	0.
250	0.00881727139738753	0.0026467753885580387	0.6366643582023368	0.36033100454803507	0.00033084692356975484	0.	0.
251	0.008889492139531363	0.0026569016865113553	0.6365228456390508	0.3604601900103166	0.0003321127108139194	0.	8.315508740704202e-7
252	0.008961903071442824	0.002667059166116714	0.6363883583546905	0.36057932576806134	0.00033338239576458925	0.	4.652130200605074e-6
253	0.009034523672417737	0.0026772416556498963	0.636259743697959	0.36068835390439324	0.00033465520695623703	0.	0.000012679312326655102
254	0.009107370035469848	0.0026874440887541258	0.6361361138084578	0.36078733660785983	0.0003359305110942657	0.	0.000025744520458803797
255	0.009180456515571115	0.002697661995955977	0.6360167211720504	0.36087638777406256	0.00033720774949449713	0.	0.00004448644690038167
256	0.00925379629288103	0.0027078913267795652	0.6359009147160376	0.3609556499483602	0.00033848641584744566	0.	0.00006941821711435528
257	0.009327401658741609	0.002718128357298828	0.6357881168837322	0.361025282971302	0.0003397660446623535	0.	0.00010096177465808273
258	0.009401284187865086	0.002728369633163661	0.6356778094752836	0.3610854574461696	0.0003410462041454576	0.	0.00013946863749740712
259	0.009475454853213943	0.0027386119307113103	0.6355695239829277	0.3611363506306277	0.0003423264913389138	0.	0.00018523371525123563
260	0.009549924108194805	0.002748852228532234	0.6354628345371651	0.3611781437008003	0.00034360652856652924	0.	0.0002385051312151215
261	0.009624701948536108	0.0027590876856274887	0.6353573525060904	0.36121101985699633	0.0003448859607034361	0.	0.0002994915421036767
262	0.009699797960708866	0.002769315623997805	0.6352527222100753	0.36123516297603797	0.0003461644529997256	0.	0.00036836779080240314
263	0.009775221360983131	0.002779533514363959	0.6351486174267099	0.3612507566341417	0.00034744168929549485	0.	0.000445279394757457
264	0.009850981027705475	0.0027897389641889604	0.6350447384778491	0.3612579833894434	0.00034871737052362005	0.	0.0005303461899988929
265	0.009927085528506983	0.0027999297074477914	0.6349408097592145	0.3612570242512379	0.0003499912134309739	0.	0.0006236653439155336
266	0.010003543143615788	0.002810103595759821	0.6348365776153404	0.3612480582862951	0.0003512629494699776	0.	0.0007253138840579053
267	0.010080361886106335	0.00282025859060791	0.6347318084899785	0.36123126232749503	0.0003525323238259888	0.	0.0008353508479308602
268	0.010157549519691453	0.00283039275644079	0.6346262873003226	0.36120681075986744	0.00035379909455509874	0.	0.0009538191305597888
269	0.010235113574509257	0.0028405042545051255	0.6345198159960008	0.36117487536581994	0.0003550630318131407	0.	0.0010807470872742897
270	0.010313061361248866	0.0028505913372889585	0.6344122122726915	0.36113562521600645	0.0003563239171611198	0.	0.0012161499355279736
271	0.010391399983881592	0.0028606523434836716	0.6343033084166874	0.3610892265956296	0.00035758154293545895	0.	0.001360030989753239
272	0.010470136351207625	0.002870685693390429	0.6341929502615075	0.3610358429583757	0.0003588357116738036	0.	0.0015123827560295287
273	0.01054927718738616	0.002880689884711214	0.6340809962412598	0.3609756349019721	0.00036008623558890176	0.	0.0016731879079397319
274	0.010628829041584867	0.0028906634886754147	0.6339673165282279	0.36090876016068846	0.00036133293608442684	0.	0.0018424201608805276
275	0.010708798296860144	0.0029006051464613228	0.6338517922442952	0.3608353736111127	0.00036257564330766535	0.	0.002020045058923631
276	0.010789191178360396	0.0029105135658785376	0.633734314737522	0.36075562728830785	0.0003638141957348172	0.	0.0022060206858495602
277	0.0108700137609296	0.002920387518282539	0.6336147849165342	0.3606696704100521	0.00036504843978531735	0.	0.0024002983100192762
278	0.010951271976176225	0.002930225835696985	0.6334931126364856	0.36057764940733283	0.0003662782294621231	0.	0.0026028229711868092
279	0.011032971619063076	0.002940027408122714	0.6333692161312308	0.3604797079596298	0.00036750342601533925	0.	0.002813534016095992
280	0.011115118354065477	0.0029497911810153522	0.6332430214870918	0.3603759870338152	0.00036872389762691903	0.	0.0030323655886795855
281	0.011197717720938995	0.002959516152915719	0.6331144621541935	0.36026662492572636	0.00036993951911446486	0.	0.003259247079838264
282	0.011280775140132326	0.002969201373219283	0.6329834784918676	0.3601517573036548	0.0003711501716524104	0.	0.0034941035410823397
283	0.011364295917876585	0.002978845940072531	0.6328500173450395	0.36003151725313637	0.0003723557425090664	0.	0.003736856065740913
284	0.011448285250978418	0.0029884489983855824	0.6327140316488785	0.35990603532256127	0.0003735561247981978	0.	0.003987422140959071
285	0.011532748231341235	0.002998009737951537	0.6325754800593064	0.35977543956920116	0.0003747512172439421	0.	0.004245715973295792
286	0.011617689850236102	0.0030075273916641255	0.6324343266072202	0.3596398556053455	0.0003759409239580157	0.	0.0045116487903896696
287	0.01170311500234142	0.003017001233826137	0.6322905403745129	0.3594994066442939	0.0003771251542282671	0.	0.004785129120865254
288	0.011789028489568748	0.0030264305785418027	0.6321440951901803	0.35935421354600566	0.00037830382231772533	0.	0.0050660630544008675
289	0.011875435024690092	0.0030358147781871193	0.6319949693449711	0.35920439486225436	0.0003794768472733899	0.	0.0053543544836623
290	0.011962339234780713	0.0030451532219525476	0.6318431453231885	0.3590500668811623	0.00038064415274406845	0.	0.005649905329619732
291	0.012049745664490083	0.0030544453344531677	0.6316886095503867	0.3588913436710268	0.00038180566680664596	0.	0.005952615751603138
292	0.012137658779152414	0.003063690574401754	0.6315313521558212	0.3587283371233678	0.00038296132180021925	0.	0.006262384343310443
293	0.012226082967747258	0.00307288843334068	0.6313713667486185	0.35856115699514596	0.000384111054167585	0.	0.006579108315859355
294	0.012315022545719737	0.0030820384344289013	0.6312086502067179	0.3583899109501202	0.00038525480430361267	0.	0.0069026836688659545
295	0.012404481757669113	0.0030911401312806092	0.6310432024777237	0.3582147045993186	0.00038639251641007616	0.	0.0072330053504380334
296	0.012494464779913712	0.0031001931068524403	0.6308750263908799	0.35803564154061646	0.00038752413835655504	0.	0.007569967406887603
297	0.01258497572293963	0.003109196972376338	0.6307041274794405	0.35785282339741414	0.00038864962154704227	0.	0.007913463122892749
298	0.012676018633740004	0.003118151366335464	0.6305305138127744	0.35766634985641965	0.000389768920791933	0.	0.0082633851527734
299	0.012767597498051102	0.003127055953480719	0.6303541958375891	0.3574763187045455	0.00039088199418508987	0.	0.00861962564348711
300	0.01285971624249112	0.003135910423885617	0.6301751862277114	0.35728282586493093	0.00039198880298570214	0.	0.00898207634989881
301	0.012952378736606986	0.003144714492037483	0.6299934997419028	0.3570859654321075	0.0003930893115046854	0.	0.009350628742831909
302	0.013045588794834312	0.00315346789596301	0.6298091530892284	0.3568858297063244	0.00039418348699537625	0.	0.009725174110366334
303	0.013139350178374963	0.003162170396386454	0.6296221648015324	0.35668250922705547	0.0003952712995483068	0.	0.010105603652811714
304	0.013233666596996818	0.003170821775918768	0.6294325551126067	0.3564760928057088	0.000396352721989846	0.	0.010491808571749936
305	0.013328541710759543	0.003179421838276192	0.6292403458436672	0.35626666755756126	0.000397427729784524	0.	0.010883680153511094
306	0.013423979131670326	0.0031879704075268352	0.6290455602947813	0.3560543189329407	0.0003984963009408544	0.	0.011281109847419172
307	0.013519982425273051	0.003196467327363944	0.6288482231419125	0.3558391307476801	0.000399558415920493	0.	0.011683989339118888
308	0.013616555112174172	0.0032049124604046158	0.6286483603392702	0.3556211852128652	0.00040061405755057697	0.	0.012092210619272578
309	0.013713700669508515	0.003213305687512782	0.6284459990266803	0.3554005629638997	0.00040166321093909775	0.	0.012505666047895417
310	0.013811422532347796	0.0032216469071454	0.6282411674416966	0.35517734308891086	0.000402705863393175	0.	0.012924248414578357
311	0.013909724095054705	0.0032299360347208166	0.6280338948362092	0.35495160315651664	0.0004037420043401021	0.	0.013347850994831401
312	0.014008608712585026	0.003238173002008365	0.6278242113973048	0.35472341924297646	0.0004047716252510456	0.	0.013776367602763906
313	0.014108079701740321	0.003246357756538296	0.6276121481721616	0.3544928659587482	0.000405794719567287	0.	0.0142096926403045
314	0.014208140342373398	0.0032544902610311846	0.6273977369967657	0.35426001647446836	0.0004068112826288981	0.	0.014647721143149873
