mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	1.1712192786448463	2.652578517681122	3.4405711633020015	0.003382896562661146	4.3443888138836995
260	0.23099951019355164	4.232884038785915	3.908556412421977	0.0017668090453286346	5.76143416490267
300	0.0942881401300449	3.1876748316970467	4.144050966569783	0.0005712447834699301	5.228233886551304
400	0.015035025276207842	3.4977768972623733	4.8264110040492385	0.00011285399608258494	5.9605944683199175
500	0.0034640730124394993	4.373043049635004	5.429693759578257	6.361805314431147e-6	6.9717343492709585
600	0.0010063050874784792	4.286803050103539	5.8318071629567525	0.00001232747768536608	7.237862611050493
700	0.0003463488508095524	5.519330479715414	6.304436040968568	6.132318603633614e-6	8.379076484853007
750	0.00021194716682024057	5.580842455650377	6.499116103707118	4.476509284270556e-6	8.56646441913319
800	0.00013391980570228132	4.694965376769461	6.660061801088207	2.269289802777167e-6	8.148565707128062
900	0.0000568024573169266	5.273879352977564	7.055067733943991	1.1198225641299604e-6	8.808392825044868
1000	0.000025857670000200272	5.694438664639548	7.377623826090216	6.118454290336192e-7	9.319654769605807
1500	1.0204602160320603e-6	10.15536832492378	8.729229162728034	5.919105522834525e-8	13.391450540934196
1800	2.0782649953775177e-7	15.000448882712764	9.507504271572945	1.7676628919595683e-8	17.759676352818378
2000	7.90712779192038e-8	16.983958254503825	9.948850549570716	8.538810609422436e-9	19.68335503028948
2500	8.646293056791219e-9	29.319235506427137	11.102458966735043	1.9664842580144944e-9	31.350951593043764
3000	1.1629946011369523e-9	52.53371972367158	12.33423376998822	6.564079490483917e-10	53.96225561165877
3500	1.7540886647149062e-10	101.95184152531438	14.649103108366933	3.0236724516133087e-10	102.99890393728654
4500	5.180229327100621e-12	313.6089044442242	26.29489512776415	7.531374240451386e-11	314.7093364622134
5000	1.024047697550069e-12	495.6119023280572	37.33254336704929	3.2704565714410737e-11	497.01597210098623
6000	6.759773311949654e-14	752.9061630242417	41.04012254429097	3.4498376154877396e-12	754.0238603508091
6500	2.1078119083172402e-14	730.0295866320571	33.317898877902046	7.757611085187164e-13	730.7894907179565
