mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	354.84280454991926	6.8473901246779265	5.674435009460107	7.682225083684684	11.751703979956162
260	74.45265156099384	6.0716558001124294	5.7294955004278485	1.444001323981934	8.472146284627259
300	31.696675343731666	5.88606671630754	5.5897148972214055	0.6277019538262828	8.141541854211624
400	5.753244655880468	4.766858694329777	5.840799131503905	0.07902441877443014	7.53950403972614
500	1.5113631163850432	6.186902299619065	5.618537274907086	0.0304693733622336	8.357430798831965
600	0.5092404330978889	8.022100811493724	5.611893193764152	0.014917483836415982	9.790182285295238
700	0.20167461234764433	6.611231092614396	5.66755771827436	0.004801199232807393	8.708019872590821
750	0.13515990816350726	4.63107079139123	5.973233085105706	0.002057744486737077	7.558196504338239
800	0.09092594317319098	5.75277919265869	5.6756309427097165	0.0018367773667544128	8.0812906401813
900	0.045455014472098466	5.564094702417079	5.8375470012030135	0.0008395116974094999	8.064496608809502
1000	0.024007429553224265	6.082635876413001	5.929685862622137	0.0005376894413097525	8.494682685275379
1500	0.002102048849697671	7.277733192383261	6.105811451504039	0.000058597716365222514	9.499807045633538
1800	0.0006955905891548193	6.244110575713264	6.138613238125499	0.000016601774839652488	8.756225749105575
2000	0.0003694264363240428	7.14600203008326	6.250878035382539	0.000010108846426450058	9.49414668241881
2500	0.0000957937045472142	6.081038615810148	6.643171527611235	2.108930191508249e-6	9.00615115308661
3000	0.000031290139386335536	6.040605763689073	6.900188945736121	7.089354811837502e-7	9.170688386330282
3500	0.000012004336360604153	8.625720127862127	6.751027927896125	4.662409708968379e-7	10.95351203073423
4500	2.499712645117642e-6	7.112272444736909	7.184468862666517	8.440179533533498e-8	10.109451625424033
5000	1.2719702001982194e-6	8.064062344465311	7.18670456103982	3.3337193736459335e-8	10.801750966537503
6000	3.9483610147527823e-7	7.744213639452756	7.687178198527897	9.936761938097554e-9	10.91171634296863
6500	2.3150788839904903e-7	8.726194247267195	7.60177735901684	1.0299565311461292e-8	11.57296353822564
7000	1.4125902189611938e-7	10.695337780015965	7.709426380241095	7.739134236283595e-9	13.184290096208978
10000	1.1808040080998096e-8	11.167269805152117	8.65758613601774	7.073944728842632e-10	14.130170296342106
12500	2.176129562903361e-9	17.703947756306295	9.108935549251493	2.1936927645199877e-10	19.90985868856031
15000	4.92756998241438e-10	22.440714594092	9.772244887227279	7.061370820920234e-11	24.476160679923506
30000	3.4290625124835585e-13	178.2135570031752	13.503573991332004	1.4610027730453396e-12	178.72442029634158
40000	5.396522350317843e-15	609.5662705285165	30.170007675312764	2.1456474586569017e-13	610.3124343556939
50000	2.1638173618744812e-16	703.835051042562	23.029434046307536	6.622408955867558e-15	704.2117109993125
