mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	0.002444491238161563	4.366019832185397	4.774547732127578	6.469809519715461
260	0.0012650751263287984	3.2607799060588665	2.919727593913489	4.376927554622892
300	0.0008771684638459869	2.8660271558830765	1.9389988687040278	3.4603219895111983
400	0.00041329888240712267	2.7194676788081487	0.7367246300580229	2.817493147572201
500	0.00022653494659394805	3.2314113019455992	1.818743099695395	3.7080784059983642
600	0.00013676882217005575	3.873605546619678	2.966829543627245	4.879231237781437
700	0.00008833610191119039	4.5123953757007245	3.951257448463429	5.997845233972197
750	0.00007239164435911964	4.830866076909539	4.3717845800902895	6.5153486067708295
800	0.000059941092421598004	5.141738816162943	4.788756382201647	7.0263550822395615
900	0.00004225522044827111	5.764236402448807	5.533138433431234	7.990121540178836
1000	0.00003068476397568126	6.296846774759405	6.200076230486733	8.83692393136008
1500	8.36210231484117e-6	8.715246281627362	8.825854214056122	12.40367769482873
1800	4.462601125318008e-6	10.130712751343012	10.076322893254764	14.288583691162465
2000	3.060053528335843e-6	11.029308941615458	10.823674594783272	15.4530769577892
2500	1.3215397883308516e-6	13.535229987030132	12.529403883048698	18.444197257304406
3000	6.362476272437943e-7	16.16173955152764	14.092524714934676	21.442972699055918
3500	3.304078183277097e-7	19.036762461759245	15.602878637501053	24.613982749689914
4500	1.0395129405658802e-7	25.50293656150987	18.663744887018513	31.60277118336471
5000	6.142831110296228e-8	28.964490483584793	20.281195128357645	35.359137218096706
6000	2.3054197243484318e-8	36.398468725048986	23.75776804861204	43.46584944735372
6500	1.4585615226028694e-8	40.359701547680295	25.60006929442254	47.79402741867505
7000	9.440456723256304e-9	44.76226849694762	27.62616932820654	52.601006765494226
