mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	10221.123194568088	17.9	-17.6	16.7	-13.5	24.480604567698077	-24.480604567698077
260	2210.00973207361	17.1	-16.8	15.9	-12.8	23.349946466748055	-23.349946466748055
300	950.5947127362138	16.7	-16.4	15.9	-12.7	23.058620947489466	-23.058620947489466
400	183.42624919196135	15.9	-15.5	15.4	-12.3	22.135265979879257	-22.135265979879257
500	52.176893058733285	14.6	-14.2	14.8	-11.8	20.78942038634074	-20.78942038634074
600	19.247780998504382	13.6	-13.2	13.9	-11.	19.446593532030228	-19.446593532030228
700	8.486315434080751	12.4	-12.	12.7	-10.	17.749647883831386	-17.749647883831386
750	5.869010201276686	12.1	-11.6	12.4	-9.7	17.325414857947848	-17.325414857947848
800	4.2125112863180965	11.5	-11.1	12.	-9.4	16.62077013859466	-16.62077013859466
900	2.3187079471370247	11.2	-10.4	10.7	-8.3	15.48967397978408	-15.48967397978408
1000	1.392049123187907	10.6	-10.1	9.9	-7.6	14.504137340772804	-14.504137340772804
1500	0.2012373927742681	10.9	-10.5	6.7	-5.1	12.794530081249565	-12.794530081249565
1800	0.08706632299751046	11.7	-11.3	5.1	-3.9	12.763228431709587	-12.763228431709587
2000	0.054118203801907905	12.3	-12.1	4.4	-3.3	13.063307391315572	-13.063307391315572
2500	0.019780979428571797	13.9	-13.9	3.7	-3.	14.384018909887459	-14.384018909887459
3000	0.008515418635121903	15.5	-15.6	2.5	-2.2	15.700318468107582	-15.700318468107582
3500	0.004203179088840051	17.1	-17.3	1.6	-1.6	17.17469068134853	-17.17469068134853
4500	0.0012627084657251156	20.1	-20.3	1.6	-1.6	20.16358103115615	-20.16358103115615
5000	0.000753040433663801	21.7	-21.8	1.5	-1.5	21.75178153623284	-21.75178153623284
6000	0.0002976758460954425	24.7	-24.4	1.5	-1.4	24.74550464225775	-24.74550464225775
6500	0.00019688136229257974	26.3	-25.7	1.2	-1.3	26.327362192213638	-26.327362192213638
7000	0.00013294698376248857	27.8	-26.9	1.2	-1.3	27.82588722754407	-27.82588722754407
10000	0.000018081299987678357	37.5	-34.6	1.1	-1.4	37.51612986436634	-37.51612986436634
12500	4.535576550179237e-6	46.7	-41.6	1.5	-1.8	46.724083725633406	-46.724083725633406
15000	1.3674833195427978e-6	56.3	-48.9	1.2	-1.9	56.31278718017782	-56.31278718017782
30000	4.348966029752225e-9	139.7	-116.4	1.5	-3.5	139.70805273855905	-139.70805273855905
