mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	13.903028735575731	10.9	-10.1	11.8	-8.2	16.063934760823702	-16.063934760823702
260	4.133693090384296	11.5	-10.8	8.3	-5.6	14.182383438618489	-14.182383438618489
300	2.133679725132767	12.3	-11.8	7.2	-4.9	14.252368224263645	-14.252368224263645
400	0.5833419935805944	14.4	-14.3	4.7	-3.4	15.14760707174569	-15.14760707174569
500	0.2095691102008152	16.6	-16.8	3.	-2.4	16.868906307167638	-16.868906307167638
600	0.08819065734297062	18.8	-19.1	2.7	-2.	18.992893407798615	-18.992893407798615
700	0.04313736974115898	21.1	-21.3	2.3	-1.7	21.224985276791127	-21.224985276791127
750	0.03050611562883967	22.1	-22.3	2.8	-2.	22.276669409945466	-22.276669409945466
800	0.022348308055351263	23.3	-23.5	2.3	-1.8	23.41324411524383	-23.41324411524383
900	0.012308680976795001	25.4	-25.4	1.8	-1.3	25.463699652642777	-25.463699652642777
1000	0.007142377646952447	27.9	-27.5	2.1	-1.6	27.978920636793692	-27.978920636793692
1500	0.0007635033400123848	39.9	-37.2	1.3	-1.6	39.92117232747555	-39.92117232747555
1800	0.00025020601766198006	48.1	-43.4	1.7	-2.	48.130032204435516	-48.130032204435516
2000	0.00012856448038150428	54.	-48.	1.7	-2.3	54.026752632376486	-54.026752632376486
2500	0.000027362110778947874	70.9	-61.2	1.4	-2.6	70.91382093781155	-70.91382093781155
3000	6.9571933757102095e-6	90.	-77.1	1.3	-3.1	90.00938839921089	-90.00938839921089
3500	1.9069522947023443e-6	112.8	-96.4	1.8	-3.9	112.81436078797769	-112.81436078797769
4500	1.7009639447207932e-7	171.8	-143.5	1.6	-4.8	171.80745036231696	-171.80745036231696
5000	5.270296088813497e-8	211.3	-177.6	1.8	-5.4	211.3076666853335	-211.3076666853335
6000	4.74929856896163e-9	309.8	-277.5	2.7	-6.6	309.8117654318506	-309.8117654318506
6500	1.4139256839851433e-9	373.7	-375.4	3.3	-7.4	373.71457022706517	-373.71457022706517
7000	3.884956325896596e-10	452.7	-524.5	4.2	-8.	452.71948268215715	-452.71948268215715
