mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	0.00229779670645916	4.093998911425237	4.791412994778136	6.3022587675594375
260	0.0011855600662048508	3.068750548760459	2.7642819272046077	4.130191824066727
300	0.0008199961930307638	2.7665189614611765	1.6697116263565035	3.231340910413865
400	0.00038462856215298777	2.829261167213311	0.4749601203491655	2.868850966541016
500	0.00020971341781010047	3.4664023790256002	2.0879797238674906	4.046678240309711
600	0.0001260801447282479	4.158345952353729	3.3868004812605372	5.363045642107035
700	0.00008101938559436117	4.869286222356194	4.487550239353392	6.62178642557645
750	0.00006621350682587254	5.195788609191896	4.968459620523131	7.189006208939948
800	0.00005470819135924655	5.530283174181561	5.438855708527468	7.756621906785035
900	0.00003839483301789528	6.114277171232793	6.287796048544236	8.770448362241638
1000	0.000027772472799784825	6.749562551851962	7.067365365729739	9.772627479551167
1500	7.4093108492933955e-6	9.26673423000083	10.11324628062288	13.716782189055914
1800	3.907689832909034e-6	10.845211539593516	11.646264356187789	15.913958866125755
2000	2.6589863437087065e-6	11.798777550790215	12.552354102309792	17.227093347480434
2500	1.1278186940992692e-6	14.493624451017315	14.665538860083965	20.619000455496376
3000	5.334413069837173e-7	17.494183238734053	16.564409992192324	24.09203448403319
3500	2.722975123550359e-7	20.798496050341672	18.326155931129374	27.72048753482064
4500	8.254048606807096e-8	27.86920482193257	21.541212007591994	35.223804339719685
5000	4.7857175305913396e-8	31.814361984314687	23.07638848137791	39.302332422039264
6000	1.735980385349382e-8	40.04545918484184	26.122228782126143	47.81223314038546
6500	1.0860373564293021e-8	44.756580894341475	27.689041163314254	52.629217492714474
